2026-04-28 17:07:36  [LOG] 2026-04-28T17:07:36.980216 | grand=15007.77 | mofet=9199.77 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 100, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 9199.77, 'tax_total': 5808, 'grand_total': 15007.77}
2026-04-28 17:07:38  [LOG] 2026-04-28T17:07:38.838334 | grand=1452 | mofet=0 | tax=1452 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 13, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 0, 'tax_total': 1452, 'grand_total': 1452}
2026-04-28 17:07:39  [LOG] 2026-04-28T17:07:39.147363 | grand=17941.03 | mofet=12133.03 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 97, 'routine_2024': 0, 'fighter_2024': 101, 'routine_2025': 0, 'fighter_2025': 91, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 12133.03, 'tax_total': 5808, 'grand_total': 17941.03}
2026-04-28 17:07:40  [LOG] 2026-04-28T17:07:40.061768 | grand=21634.57 | mofet=15826.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 359, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 15826.57, 'tax_total': 5808, 'grand_total': 21634.57}
2026-04-28 17:07:42  [LOG] 2026-04-28T17:07:42.254219 | grand=21634.57 | mofet=15826.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 359, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 15826.57, 'tax_total': 5808, 'grand_total': 21634.57}
2026-04-28 17:07:42  [LOG] 2026-04-28T17:07:42.332648 | grand=7022.6 | mofet=2666.6 | tax=4356 | inputs={'routine_2023': 3, 'fighter_2023': 88, 'routine_2024': 0, 'fighter_2024': 3, 'routine_2025': 0, 'fighter_2025': 20, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 20, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 2666.6, 'tax_total': 4356, 'grand_total': 7022.6}
2026-04-28 17:07:42  [LOG] 2026-04-28T17:07:42.988434 | grand=24874.19 | mofet=19066.19 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 76, 'routine_2024': 2, 'fighter_2024': 115, 'routine_2025': 2, 'fighter_2025': 143, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 19066.19, 'tax_total': 5808, 'grand_total': 24874.19}
2026-04-28 17:07:43  [LOG] 2026-04-28T17:07:43.710012 | grand=9407.91 | mofet=3599.91 | tax=5808 | inputs={'routine_2023': 24.5, 'fighter_2023': 72, 'routine_2024': 4, 'fighter_2024': 73, 'routine_2025': 12, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 27, 'commander': 1, 'commander_days': 39, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 3599.91, 'tax_total': 5808, 'grand_total': 9407.91}
2026-04-28 17:07:45  [LOG] 2026-04-28T17:07:45.807144 | grand=45407.01 | mofet=39599.01 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 328, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 39599.01, 'tax_total': 5808, 'grand_total': 45407.01}
2026-04-28 17:07:47  [LOG] 2026-04-28T17:07:47.198832 | grand=0 | mofet=0 | tax=0 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 3, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 0, 'tax_total': 0, 'grand_total': 0}
